region_id,region_label,profile,mean,q05,q95,p_talarico
0010001,"County 001, VTD 0001 (urban)",urban,0.34373745515021553,0.2706361173162638,0.4218807106807774,6.1e-4
0010002,"County 001, VTD 0002 (rural)",rural,0.14748414918934555,0.10827453898599983,0.19305851254728784,0
0010003,"County 001, VTD 0003 (rural)",rural,0.18232998621286337,0.13544543299972406,0.23603629597194767,0
0010004,"County 001, VTD 0004 (rural)",rural,0.12507092159725874,0.09118343353918407,0.16481735305955247,0
0010005,"County 001, VTD 0005 (rural)",rural,0.08832206777504067,0.06338192128650204,0.11807493635299399,0
0010006,"County 001, VTD 0006 (urban)",urban,0.5487892669962506,0.4655595915214696,0.6303161127210545,0.83482
0010007,"County 001, VTD 0007 (hispanic)",hispanic,0.7406677188256884,0.672921127779183,0.8018076567182745,1
0010008,"County 001, VTD 0008 (urban)",urban,0.6183370629607563,0.5375228130873371,0.6951817549527103,0.99122
0010009,"County 001, VTD 0009 (rural)",rural,0.22442597718885487,0.1691925229128035,0.28657484183241483,0
0010010,"County 001, VTD 0010 (rural)",rural,0.16853838225547227,0.12439921954197979,0.21943200623468148,0
0010011,"County 001, VTD 0011 (rural)",rural,0.24846530917399023,0.18909027281046337,0.3145704982338435,0
0010013,"County 001, VTD 0013 (urban)",urban,0.3405007418034107,0.2679502989523706,0.4181493941532727,5.3e-4
0010015,"County 001, VTD 0015 (rural)",rural,0.16849483158452377,0.12440698485886822,0.21932243034406854,0
0010016,"County 001, VTD 0016 (rural)",rural,0.22096973715189078,0.16612513250542527,0.2828098537912537,0
0010017,"County 001, VTD 0017 (rural)",rural,0.23970016603431984,0.18164076686828945,0.3046103663981875,0
0010018,"County 001, VTD 0018 (rural)",rural,0.1883105512155229,0.14029713264856436,0.2431515179050696,0
0010019,"County 001, VTD 0019 (rural)",rural,0.3036747575555306,0.23521842959298844,0.3781635552098963,1e-5
0010020,"County 001, VTD 0020 (rural)",rural,0.31319889769498843,0.24334610863935652,0.38890477149429975,1.1e-4
0010021,"County 001, VTD 0021 (rural)",rural,0.17937052874639584,0.13299812523480115,0.23257585401156636,0
0010022,"County 001, VTD 0022 (rural)",rural,0.18646645464809103,0.13881499440347067,0.24093928008401577,0
0010023,"County 001, VTD 0023 (rural)",rural,0.12774300226102456,0.09295351299613479,0.16855650625987945,0
0010024,"County 001, VTD 0024 (rural)",rural,0.10365614236217065,0.07487321815184501,0.13775254340498863,0
0030001,"County 003, VTD 0001 (rural)",rural,0.1684532832766474,0.1246189139035542,0.21894596296486413,0
0030002,"County 003, VTD 0002 (rural)",rural,0.16904802057135013,0.12517247746444835,0.21955975068358738,0
0030003,"County 003, VTD 0003 (rural)",rural,0.18819261496427556,0.1401780187487474,0.2430415856211003,0
0030004,"County 003, VTD 0004 (rural)",rural,0.20618672056144727,0.15475554778161776,0.2644613713977667,0
0050001,"County 005, VTD 0001 (urban)",urban,0.45974522952660773,0.3774093621060322,0.5435015892971637,0.21159
0050002,"County 005, VTD 0002 (hispanic)",hispanic,0.7591495404583481,0.6865674362557513,0.8233120884577206,1
0050003,"County 005, VTD 0003 (rural)",rural,0.2298735021968281,0.17368445116428743,0.2929440145398154,0
0050004,"County 005, VTD 0004 (rural)",rural,0.45154993325761983,0.3686839839945378,0.5361630108771684,0.17134
0050005,"County 005, VTD 0005 (urban)",urban,0.46613119382826473,0.38350194526101644,0.5499622912642885,0.2523
0050006,"County 005, VTD 0006 (rural)",rural,0.22036970881083004,0.16602219218561404,0.2816091989904384,0
0050007,"County 005, VTD 0007 (rural)",rural,0.16336983544636255,0.12046626888027907,0.21292878012096067,0
0050008,"County 005, VTD 0008 (rural)",rural,0.15771949827079382,0.11593658669630123,0.20612489998232655,0
0050009,"County 005, VTD 0009 (rural)",rural,0.3557547669877051,0.28096539168125567,0.4353205026178237,0.00196
0050010A,"County 005, VTD 0010 (urban)",urban,0.5397309637291041,0.4557836347128549,0.622262830565791,0.78226
0050010B,"County 005, VTD 0010 (urban)",urban,0.5297130716090559,0.44602665610633024,0.6123461884049634,0.72105
0050011,"County 005, VTD 0011 (rural)",rural,0.1253445068185378,0.09129250839856762,0.16529972376591112,0
0050012,"County 005, VTD 0012 (rural)",rural,0.2292142087439982,0.17294551990237508,0.29242079355436235,0
0050013,"County 005, VTD 0013 (urban)",urban,0.46564292232263904,0.3830835156957945,0.5494220414536813,0.24846
0050014,"County 005, VTD 0014 (urban)",urban,0.3951069282141931,0.3169964853079968,0.47678554011121843,0.01762
0050015,"County 005, VTD 0015 (rural)",rural,0.21827022411171373,0.1641703015777154,0.2793074762591691,0
0050016,"County 005, VTD 0016 (urban)",urban,0.4692192398480129,0.38643151243529017,0.5531016096491627,0.27044
0050017,"County 005, VTD 0017 (rural)",rural,0.13148143291685307,0.09589972478926195,0.1731381014871687,0
0050018,"County 005, VTD 0018 (rural)",rural,0.37796763463535965,0.300764259252001,0.4593306882348404,0.0075
0050019,"County 005, VTD 0019 (urban)",urban,0.399558163596572,0.32114097801043906,0.481399736135323,0.02206
0050020,"County 005, VTD 0020 (hispanic)",hispanic,0.8127755221710345,0.7496391899978215,0.8669497838786382,1
0050021,"County 005, VTD 0021 (rural)",rural,0.3259877535658523,0.2545391990454578,0.4029910014024357,2.2e-4
0050022,"County 005, VTD 0022 (rural)",rural,0.15441900684460175,0.1138409215423066,0.20140870685238077,0
0050023,"County 005, VTD 0023 (rural)",rural,0.21663244633530893,0.16250529145222484,0.27779360458622276,0
0050024,"County 005, VTD 0024 (rural)",rural,0.25486629857701104,0.19394103717859923,0.32257177471937654,0
0050025,"County 005, VTD 0025 (rural)",rural,0.2230194876414886,0.16784748743953637,0.28516547984793666,0
0050026,"County 005, VTD 0026 (rural)",rural,0.1680183584100239,0.12424485108930824,0.21845724388495988,0
0050027,"County 005, VTD 0027 (rural)",rural,0.1271274287321311,0.09272251051678675,0.16745192876421156,0
0050028,"County 005, VTD 0028 (rural)",rural,0.23231882341496382,0.17560321378512317,0.2959251175629095,0
0050029,"County 005, VTD 0029 (rural)",rural,0.1822558664815985,0.13520570226819548,0.2361846590852895,0
0050030,"County 005, VTD 0030 (rural)",rural,0.09698373141278255,0.06989320444664811,0.1291643272554898,0
0050031,"County 005, VTD 0031 (rural)",rural,0.2099456358356851,0.15748662627966495,0.269335426825517,0
0050032,"County 005, VTD 0032 (rural)",rural,0.15171914928626964,0.11151349815970947,0.19837494037783399,0
0050033,"County 005, VTD 0033 (rural)",rural,0.10444716550426245,0.07547974404493699,0.1387481946991068,0
0050034,"County 005, VTD 0034 (rural)",rural,0.3544981153119428,0.27981497954127005,0.43399430624052704,0.00164
0050035,"County 005, VTD 0035 (rural)",rural,0.3244839765248586,0.25351525779818973,0.4009895934321094,8e-5
0050037,"County 005, VTD 0037 (rural)",rural,0.21478659902893915,0.16120001431515188,0.27535647731031876,0
0050038,"County 005, VTD 0038 (rural)",rural,0.16529813309200125,0.12211378300584624,0.21511607723893156,0
0050039,"County 005, VTD 0039 (urban)",urban,0.3649242831969973,0.2895237131682471,0.44479768721798574,0.00342
0050040,"County 005, VTD 0040 (urban)",urban,0.42685305965671627,0.3464869748421105,0.5097571853876366,0.07242
005011B,"County 005, VTD 011B (rural)",rural,0.1881152207794642,0.13989898984932755,0.24323255915766095,0
005017B,"County 005, VTD 017B (rural)",rural,0.09530096649956132,0.06857601772049755,0.12708579227316733,0
0070001,"County 007, VTD 0001 (rural)",rural,0.24350361185625005,0.18508496130668917,0.30866973849910423,0
