baseline,label,source,model_internal,baseline_2p,component,mean,shift_mean,shift_sd,shift_q05,shift_q95,interval_src
gov18,2018 Governor (Valdez),capitol_portal,FALSE,0.43234552495135664,combined,0.5081433559384466,0.07579783098708998,0.015223601005581885,0.05063471197752911,0.10106560979237594,draws
gov18,2018 Governor (Valdez),capitol_portal,FALSE,0.43234552495135664,fundamentals,0.4973110291618454,0.06496550421048874,0.0262758629502618,0.021741709657308095,0.1081892987636694,normal
gov18,2018 Governor (Valdez),capitol_portal,FALSE,0.43234552495135664,poll,0.5147949296254533,0.08244940467409662,0.008252125581056825,0.06887465809325816,0.09602415125493508,normal
gov22,2022 Governor (O'Rourke),capitol_portal,FALSE,0.4447985821589418,combined,0.5081433559384466,0.06334477377950481,0.015223601005581885,0.03818165476994395,0.08861255258479078,draws
gov22,2022 Governor (O'Rourke),capitol_portal,FALSE,0.4447985821589418,fundamentals,0.4973110291618454,0.052512447002903584,0.0262758629502618,0.009288652449722934,0.09573624155608423,normal
gov22,2022 Governor (O'Rourke),capitol_portal,FALSE,0.4447985821589418,poll,0.5147949296254533,0.06999634746651145,0.008252125581056825,0.056421600885672996,0.08357109404734991,normal
pres16,2016 President (Clinton),capitol_portal,FALSE,0.4528924256889289,combined,0.5081433559384466,0.055250930249517716,0.015223601005581885,0.030087811239956852,0.08051870905480368,draws
pres16,2016 President (Clinton),capitol_portal,FALSE,0.4528924256889289,fundamentals,0.4973110291618454,0.044418603472916485,0.0262758629502618,0.0011948089197358347,0.08764239802609713,normal
pres16,2016 President (Clinton),capitol_portal,FALSE,0.4528924256889289,poll,0.5147949296254533,0.061902503936524356,0.008252125581056825,0.048327757355685896,0.07547725051736281,normal
pres20,2020 President (Biden),capitol_portal,FALSE,0.47167240761366647,combined,0.5081433559384466,0.03647094832478015,0.015223601005581885,0.011307829315219287,0.06173872713006612,draws
pres20,2020 President (Biden),capitol_portal,FALSE,0.47167240761366647,fundamentals,0.4973110291618454,0.02563862154817892,0.0262758629502618,-0.01758517300500173,0.06886241610135957,normal
pres20,2020 President (Biden),capitol_portal,FALSE,0.47167240761366647,poll,0.5147949296254533,0.04312252201178679,0.008252125581056825,0.02954777543094833,0.05669726859262525,normal
pres24,2024 President (Harris),vest,TRUE,0.4306112185407591,combined,0.5081433559384466,0.0775321373976875,0.015223601005581885,0.05236901838812663,0.10279991620297346,draws
pres24,2024 President (Harris),vest,TRUE,0.4306112185407591,fundamentals,0.4973110291618454,0.06669981062108626,0.0262758629502618,0.023476016067905614,0.10992360517426691,normal
pres24,2024 President (Harris),vest,TRUE,0.4306112185407591,poll,0.5147949296254533,0.084183711084694135,0.008252125581056825,0.07060896450385568,0.0977584576655326,normal
sen18,2018 U.S. Senate (O'Rourke),capitol_portal,FALSE,0.4870204293193049,combined,0.5081433559384466,0.021122926619141724,0.015223601005581885,-0.0040401923904191395,0.04639070542442769,draws
sen18,2018 U.S. Senate (O'Rourke),capitol_portal,FALSE,0.4870204293193049,fundamentals,0.4973110291618454,0.010290599842540493,0.0262758629502618,-0.03293319471064016,0.05351439439572114,normal
sen18,2018 U.S. Senate (O'Rourke),capitol_portal,FALSE,0.4870204293193049,poll,0.5147949296254533,0.027774500306148364,0.008252125581056825,0.014199753725309905,0.041349246886986823,normal
sen20,2020 U.S. Senate (Hegar),capitol_portal,FALSE,0.4504867382582207,combined,0.5081433559384466,0.0576566176802259,0.015223601005581885,0.03249349867066503,0.08292439648551186,draws
sen20,2020 U.S. Senate (Hegar),capitol_portal,FALSE,0.4504867382582207,fundamentals,0.4973110291618454,0.046824290903624666,0.0262758629502618,0.0036004963504440157,0.09004808545680532,normal
sen20,2020 U.S. Senate (Hegar),capitol_portal,FALSE,0.4504867382582207,poll,0.5147949296254533,0.06430819136723254,0.008252125581056825,0.05073344478639408,0.077882937948071,normal
sen24,2024 U.S. Senate (Allred),vest,FALSE,0.4564727708657559,combined,0.5081433559384466,0.05167058507269073,0.015223601005581885,0.02650746606312987,0.0769383638779767,draws
sen24,2024 U.S. Senate (Allred),vest,FALSE,0.4564727708657559,fundamentals,0.4973110291618454,0.0408382582960895,0.0262758629502618,-0.0023855362570911476,0.08406205284927015,normal
sen24,2024 U.S. Senate (Allred),vest,FALSE,0.4564727708657559,poll,0.5147949296254533,0.05832215875969737,0.008252125581056825,0.044747412178858914,0.07189690534053583,normal
